language,text_id,sentence
Danish,Monocole,"Monoklen var sent i nittenhundredetallet forbundet med velhavende mænd fra overklassen eller som en stereotypi på en nittenhundredeårs kapitalist , ofte kombineret med en lang frakke og en høj hat ."
Danish,Monocole,Monokler blev også båret af militære officerer i denne periode .
Danish,Monocole,"Monokler ses sjældent i dag , hvilket skyldes fremskridt indenfor optometri , hvilket giver mulighed for , at glas og kontaktlinser kan udføres med forskellige styrker på begge øjne ."
Danish,Monocole,"Nutidens briller er korrektionsglas , der består af slebet glas eller plastik , som kan være farvet eller ufarvet ."
Danish,Monocole,Brillerne formodes at være blevet opfundet i Venedig i tolvhundredetallet .
Danish,Monocole,Linser af bjergkrystal var da længe blevet anvendt som synshjælpemidler .
Danish,Wine Tasting,Vinsmagning er den sansemæssige undersøgelse og vurdering af vine .
Danish,Wine Tasting,"Imens udførelsen af vinsmagning er så gammel som fremstillingen af vin , er der langsomt blevet etableret en mere formaliseret metodologi , fra den sene middelalder og fremefter ."
Danish,Wine Tasting,"Moderne , professionelle vinsmagere bruger en konstant udviklende specialiseret terminologi , som bruges til at beskrive rækken af fornemmede smage , aromaer og generelle karakteristika ved en vin ."
Danish,Wine Tasting,I de seneste år er der dukket resultater op som udfordrer pålideligheden af vinsmagning hos både eksperter og forbrugere .
Danish,Wine Tasting,"For eksempel har studier vist , at folk forventer , at mere kostbar vin har flere ønskelige karakteristika sammenlignet med mindre dyr vin : Når vinsmagere får vin , som de på et falsk grundlag fortælles , er dyr , så rapporteres den stort set altid som at smage bedre , end den helt samme vin , hvis de får at vide , at den billig ."
Danish,Wine Tasting,"Andre studier viser , at vinsmageres vurdering kan være forudindtaget af at kende detaljer om vinen så som geografisk oprindelse , omdømme eller andre betragtninger ."
Danish,Wine Tasting,"Objektiv vinsmagning kræver derfor , at vinen serveres i en blindsmagning – det vil sige uden at smageren har set etikette eller flaskeform ."
Danish,Wine Tasting,Blindsmagning kan også omfatte at servere vinen i et sort vinglas for at skjule vinens farve .
Danish,Orange Juice,Appelsinjuice er den rene saft presset af appelsiner .
Danish,Orange Juice,Kommerciel appelsinjuice med lang holdbarhed fremstilles ved pasteurisering af saft og fjernelse af ilt .
Danish,Orange Juice,"Dette fjerner imidlertid også meget af smagen , hvilket nødvendiggør senere tilsætning af smag ."
Danish,Orange Juice,"Derudover forarbejdes noget juice yderligere ved tørring og senere rehydrering af saften , eller ved koncentrering af saften og senere tilsætning af vand til koncentratet ."
Danish,Orange Juice,"Appelsinjuice drikkes over hele verden , og i mange husstande er den almindelig til morgenmaden ."
Danish,Orange Juice,Den bedste kvalitet opnås ved at lave friskpresset juice fra nyplukkede appelsiner .
Danish,Orange Juice,"Appelsinjuice indeholder meget C vitamin , og et enkelt glas er nok til at dække dagsbehovet ."
Danish,Orange Juice,"Juicen indeholder dog også høje koncentrationer af sukker , der er sammenlignelig med sodavand ."
